,,,"EQY_FUND_CRNCY=USD,SCALING_FORMAT=BLN",,"SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD","SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD",,,,,,,BEST_FPERIOD_OVERRIDE=1GY,,,
CMD US Equity,USD,CANTEL MEDICAL CORP,0.1,0.7,  4 ,  0 ,28.2,  2.05 ,  2.54 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,4.0,100%,  16 ,  765 
INGN US Equity,USD,INOGEN INC,0.0,-4.5,  3 ,  (0),78.5,  20.75 ,  4.06 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,8.0,107%,  16 ,  786 
MPWR US Equity,USD,MONOLITHIC POWER SYSTEMS INC,0.1,-2.9,  5 ,  (0),52.9,  1.52 ,  1.09 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,10.0,82%,  16 ,  508 
AAP US Equity,USD,ADVANCE AUTO PARTS INC,0.7,0.1,  13 ,  0 ,44.9,  1.40 ,  1.01 ,Consumer Discretionary,Specialty Retail,Retailing,24.0,109%,  16 ,  168 
ELY US Equity,USD,CALLAWAY GOLF COMPANY,0.1,-0.4,  2 ,  0 ,35.7,  3.41 ,  2.33 ,Consumer Discretionary,Leisure Products,Consumer Durables & Apparel,11.0,131%,  16 ,  112 
JBLU US Equity,USD,JETBLUE AIRWAYS CORP,0.2,0.9,  6 ,  1 ,37.9,  0.62 ,  0.22 ,Industrials,Airlines,Transportation,17.0,75%,  16 ,  706 
ROP US Equity,USD,ROPER TECHNOLOGIES INC,1.3,2.8,  30 ,  4 ,35.1,  5.83 ,  4.14 ,Industrials,Industrial Conglomerates,Capital Goods,14.0,34%,  16 ,  691 
IT US Equity,USD,GARTNER INC,0.3,4.2,  13 ,  3 ,31.5,  2.32 ,  1.68 ,Information Technology,IT Services,Software & Services,11.0,60%,  16 ,  516 
MLM US Equity,USD,MARTIN MARIETTA MATERIALS,0.3,3.0,  12 ,  2 ,46.0,  0.94 ,  1.21 ,Materials,Construction Materials,Materials,15.0,49%,  16 ,  436 
SNN US Equity,USD,SMITH & NEPHEW PLC -SPON ADR,0.7,1.0,  16 ,  1 ,29.2,  2.74 ,  2.73 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,5.0,64%,  16 ,  769 
COL US Equity,USD,ROCKWELL COLLINS INC,0.8,3.2,  22 ,  6 ,20.0,  3.49 ,  0.73 ,Industrials,Aerospace & Defense,Capital Goods,13.0,47%,  16 ,  676 
BABA US Equity,CNY,ALIBABA GROUP HOLDING-SP ADR,15.4,-2.3,  405 ,  (20),56.2,  0.79 ,  0.72 ,Consumer Discretionary,Internet & Direct Marketing Re,Retailing,52.0,44%,  16 ,  210 
RLI US Equity,USD,RLI CORP,0.2,#N/A N/A,  3 ,  0 ,28.7,  7.68 ,  11.96 ,Financials,Insurance,Insurance,5.0,28%,  16 ,  902 
AON US Equity,USD,AON PLC,1.1,2.5,  39 ,  5 ,23.7,  1.35 ,  1.45 ,Financials,Insurance,Insurance,21.0,42%,  16 ,"  1,018 "
MOH US Equity,USD,MOLINA HEALTHCARE INC,-0.4,-4.5,  8 ,  (4),47.9,  (9.92),  4.10 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,16.0,226%,  16 ,  828 
SKM US Equity,KRW,SK TELECOM CO LTD-SPON ADR,0.8,1.0,  19 ,  4 ,31.5,  (0.46),#VALUE!,Communication Services,Wireless Telecommunication Ser,Telecommunication Services,2.0,49%,  16 ,  5 
RCL US Equity,USD,ROYAL CARIBBEAN CRUISES LTD,0.5,3.5,  23 ,  7 ,41.3,  0.93 ,  1.06 ,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,24.0,37%,  16 ,  165 
HQY US Equity,USD,HEALTHEQUITY INC,0.1,-3.7,  5 ,  (0),50.6,  2.55 ,  1.34 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,13.0,66%,  16 ,  815 
UHS US Equity,USD,UNIVERSAL HEALTH SERVICES-B,0.6,2.3,  12 ,  4 ,28.6,  2.02 ,  1.53 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,18.0,97%,  16 ,  841 
GPN US Equity,USD,GLOBAL PAYMENTS INC,0.6,3.7,  17 ,  4 ,36.6,  1.06 ,  0.95 ,Information Technology,IT Services,Software & Services,34.0,27%,  16 ,  591 
SAP US Equity,EUR,SAP SE-SPONSORED ADR,3.5,0.4,  130 ,  3 ,44.3,  1.75 ,  1.65 ,Information Technology,Software,Software & Services,15.0,55%,  17 ,  543 
ANTM US Equity,USD,ANTHEM INC,0.9,-0.7,  73 ,  (5),34.2,  1.35 ,  0.95 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,22.0,128%,  17 ,  864 
BSMX US Equity,MXN,BANCO SANTANDER MEXICO -ADR,3.6,#N/A N/A,  9 ,  11 ,52.6,  0.88 ,  0.68 ,Financials,Banks,Banks,7.0,10%,  17 ,  926 
DECK US Equity,USD,DECKERS OUTDOOR CORP,0.3,-0.3,  4 ,  (0),45.1,  2.47 ,  1.71 ,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",Consumer Durables & Apparel,16.0,133%,  17 ,  131 
EXPO US Equity,USD,EXPONENT INC,0.1,-2.3,  3 ,  (0),30.1,  6.70 ,  4.29 ,Industrials,Professional Services,Commercial & Professional Serv,5.0,82%,  17 ,  624 
SLM US Equity,USD,SLM CORP,-0.1,2.8,  5 ,  2 ,27.5,  0.50 ,  0.54 ,Financials,Consumer Finance,Diversified Financials,12.0,7%,  17 ,  969 
POST US Equity,USD,POST HOLDINGS INC,0.6,6.8,  6 ,  6 ,28.4,  0.73 ,#VALUE!,Consumer Staples,Food Products,"Food, Beverage & Tobacco",10.0,52%,  17 ,  226 
KHC US Equity,USD,KRAFT HEINZ CO/THE,0.6,4.8,  63 ,  30 ,42.0,  3.89 ,  3.29 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",25.0,22%,  17 ,  258 
BRO US Equity,USD,BROWN & BROWN INC,0.4,0.7,  8 ,  0 ,21.9,  2.46 ,  2.15 ,Financials,Insurance,Insurance,14.0,30%,  17 ,  982 
AEL US Equity,USD,AMERICAN EQUITY INVT LIFE HL,1.2,#N/A N/A,  3 ,  (1),35.8,  (0.73),  1.84 ,Financials,Insurance,Insurance,11.0,6%,  17 ,  954 
CACI US Equity,USD,CACI INTERNATIONAL INC -CL A,0.3,2.3,  4 ,  1 ,28.4,  2.85 ,  3.43 ,Information Technology,IT Services,Software & Services,13.0,111%,  17 ,  533 
BOH US Equity,USD,BANK OF HAWAII CORP,#N/A N/A,#N/A N/A,  3 ,  0 ,21.6,  2.02 ,  2.37 ,Financials,Banks,Banks,8.0,4%,  17 ,  931 
EQNR US Equity,USD,EQUINOR ASA-SPON ADR,5.4,0.4,  81 ,  14 ,30.7,  0.61 ,  4.68 ,Energy,"Oil, Gas & Consumable Fuels",Energy,5.0,65%,  17 ,"  1,047 "
CW US Equity,USD,CURTISS-WRIGHT CORP,0.3,1.2,  5 ,  0 ,33.5,  1.57 ,  4.20 ,Industrials,Aerospace & Defense,Capital Goods,8.0,73%,  17 ,  641 
SYF US Equity,USD,SYNCHRONY FINANCIAL,9.2,2.1,  19 ,  9 ,47.8,  0.28 ,  0.83 ,Financials,Consumer Finance,Diversified Financials,24.0,18%,  17 ,"  1,026 "
AXP US Equity,USD,AMERICAN EXPRESS CO,14.0,2.2,  94 ,  26 ,25.5,  1.32 ,  1.19 ,Financials,Consumer Finance,Diversified Financials,32.0,23%,  17 ,"  1,043 "
RLGY US Equity,USD,REALOGY HOLDINGS CORP,0.3,5.6,  2 ,  3 ,55.4,  0.53 ,  1.14 ,Real Estate,Real Estate Management & Devel,Real Estate,6.0,82%,  17 ,  332 
GRMN US Equity,USD,GARMIN LTD,0.7,-3.1,  13 ,  (2),28.0,  10.68 ,  3.05 ,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,10.0,67%,  17 ,  101 
HRC US Equity,USD,HILL-ROM HOLDINGS INC,0.3,3.7,  6 ,  2 ,32.3,  1.51 ,  1.38 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,10.0,64%,  17 ,  795 
RMD US Equity,USD,RESMED INC,0.4,0.4,  15 ,  0 ,31.9,  2.05 ,  2.46 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,12.0,73%,  17 ,  806 
DGX US Equity,USD,QUEST DIAGNOSTICS INC,0.9,2.4,  13 ,  4 ,28.3,  3.61 ,  3.12 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,20.0,71%,  17 ,  852 
SHOO US Equity,USD,STEVEN MADDEN LTD,0.2,-1.1,  3 ,  (0),45.0,  1.81 ,  1.50 ,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",Consumer Durables & Apparel,14.0,146%,  17 ,  129 
CLGX US Equity,USD,CORELOGIC INC,0.3,3.7,  3 ,  2 ,31.8,  3.79 ,  0.72 ,Information Technology,IT Services,Software & Services,11.0,44%,  17 ,  519 
HUBB US Equity,USD,HUBBELL INC,0.4,2.5,  6 ,  1 ,50.1,  1.56 ,  1.21 ,Industrials,Electrical Equipment,Capital Goods,7.0,97%,  17 ,  637 
TPR US Equity,USD,TAPESTRY INC,0.8,0.5,  12 ,  0 ,37.0,  1.17 ,  1.03 ,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",Consumer Durables & Apparel,38.0,84%,  17 ,  208 
CALM US Equity,USD,CAL-MAINE FOODS INC,0.2,-1.6,  2 ,  (0),20.0,  11.71 ,  0.40 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",4.0,146%,  17 ,  215 
DKS US Equity,USD,DICK'S SPORTING GOODS INC,0.5,0.1,  4 ,  (0),37.4,  2.90 ,  2.19 ,Consumer Discretionary,Specialty Retail,Retailing,28.0,201%,  17 ,  186 
FAF US Equity,USD,FIRST AMERICAN FINANCIAL,0.5,#N/A N/A,  5 ,  (1),40.7,  5.69 ,  2.01 ,Financials,Insurance,Insurance,5.0,56%,  17 ,  899 
CERN US Equity,USD,CERNER CORP,1.0,-0.3,  19 ,  (0),43.1,  2.16 ,  1.43 ,Health Care,Health Care Technology,Health Care Equipment & Servic,25.0,82%,  17 ,  876 
CMI US Equity,USD,CUMMINS INC,1.6,0.3,  24 ,  0 ,31.0,  0.73 ,  (3.38),Industrials,Machinery,Capital Goods,29.0,125%,  17 ,  758 
CPB US Equity,USD,CAMPBELL SOUP CO,0.9,10.7,  12 ,  10 ,32.1,  2.14 ,  2.94 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",19.0,78%,  17 ,  243 
FLO US Equity,USD,FLOWERS FOODS INC,0.2,2.1,  4 ,  1 ,31.5,  5.16 ,  3.06 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",6.0,147%,  17 ,  216 
OGE US Equity,USD,OGE ENERGY CORP,0.5,3.7,  8 ,  3 ,20.6,  4.73 ,  2.68 ,Utilities,Electric Utilities,Utilities,11.0,21%,  17 ,  295 
CINF US Equity,USD,CINCINNATI FINANCIAL CORP,1.0,#N/A N/A,  13 ,  0 ,33.0,  7.12 ,  79.22 ,Financials,Insurance,Insurance,7.0,28%,  17 ,  919 
CCMP US Equity,USD,CABOT MICROELECTRONICS CORP,0.1,-1.9,  3 ,  (0),45.2,  1.25 ,#VALUE!,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,3.0,73%,  17 ,  467 
ASGN US Equity,USD,ASGN INC,0.3,3.3,  4 ,  1 ,54.2,  2.32 ,  1.38 ,Industrials,Professional Services,Commercial & Professional Serv,7.0,141%,  17 ,  640 
VIPS US Equity,CNY,VIPSHOP HOLDINGS LTD - ADR,-0.3,#N/A N/A,  4 ,  (1),87.4,  0.53 ,  0.37 ,Consumer Discretionary,Internet & Direct Marketing Re,Retailing,14.0,265%,  17 ,  126 
DHI US Equity,USD,DR HORTON INC,0.4,0.8,  13 ,  2 ,46.0,  1.12 ,  0.75 ,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,20.0,122%,  17 ,  149 
WRK US Equity,USD,WESTROCK CO,1.4,2.3,  12 ,  6 ,46.8,  1.82 ,  0.27 ,Materials,Containers & Packaging,Materials,15.0,65%,  17 ,  437 
IQV US Equity,USD,IQVIA HOLDINGS INC,0.6,5.2,  24 ,  9 ,35.4,  1.38 ,  1.30 ,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",22.0,46%,  17 ,  867 
ALL US Equity,USD,ALLSTATE CORP,4.6,#N/A N/A,  31 ,  6 ,33.1,  (14.74),  1.63 ,Financials,Insurance,Insurance,21.0,35%,  17 ,"  1,019 "
NOAH US Equity,CNY,NOAH HOLDINGS LTD-SPON ADS,#N/A N/A,#N/A N/A,  2 ,  (0),50.9,  0.64 ,  0.49 ,Financials,Capital Markets,Diversified Financials,6.0,47%,  17 ,  908 
WMB US Equity,USD,WILLIAMS COS INC,-0.3,7.6,  30 ,  20 ,29.7,  1.11 ,  4.97 ,Energy,"Oil, Gas & Consumable Fuels",Energy,23.0,19%,  18 ,"  1,076 "
F US Equity,USD,FORD MOTOR CO,9.0,-0.7,  37 ,  (11),41.8,  (6.28),  0.40 ,Consumer Discretionary,Automobiles,Automobiles & Components,24.0,63%,  18 ,  164 
HCSG US Equity,USD,HEALTHCARE SERVICES GROUP,0.0,-0.5,  3 ,  (0),33.0,  1.71 ,  1.70 ,Industrials,Commercial Services & Supplies,Commercial & Professional Serv,10.0,298%,  18 ,  654 
NVS US Equity,USD,NOVARTIS AG-SPONSORED ADR,12.2,1.2,  223 ,  19 ,23.5,  2.42 ,  1.78 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",5.0,38%,  18 ,  771 
PLCE US Equity,USD,CHILDREN'S PLACE INC/THE,0.1,-0.1,  2 ,  (0),47.5,  0.78 ,  0.47 ,Consumer Discretionary,Specialty Retail,Retailing,8.0,213%,  18 ,  92 
CBOE US Equity,USD,CBOE GLOBAL MARKETS INC,0.5,1.5,  12 ,  1 ,22.8,  4.43 ,  2.57 ,Financials,Capital Markets,Diversified Financials,13.0,22%,  18 ,  978 
TXRH US Equity,USD,TEXAS ROADHOUSE INC,0.2,-0.5,  5 ,  (0),35.1,  1.55 ,  1.72 ,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,21.0,189%,  18 ,  152 
D US Equity,USD,DOMINION ENERGY INC,-0.3,6.3,  48 ,  37 ,18.1,  4.54 ,  3.96 ,Utilities,Multi-Utilities,Utilities,17.0,17%,  18 ,  309 
RSG US Equity,USD,REPUBLIC SERVICES INC,1.2,2.9,  25 ,  8 ,18.9,  3.77 ,  1.89 ,Industrials,Commercial Services & Supplies,Commercial & Professional Serv,12.0,48%,  18 ,  669 
SJM US Equity,USD,JM SMUCKER CO/THE,0.8,4.5,  13 ,  5 ,24.1,  12.56 ,  2.80 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",18.0,45%,  18 ,  240 
MASI US Equity,USD,MASIMO CORP,0.2,-2.1,  6 ,  (0),29.1,  9.53 ,  2.09 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,7.0,86%,  18 ,  779 
SCHW US Equity,USD,SCHWAB (CHARLES) CORP,3.6,-2.7,  64 ,  7 ,34.3,  0.88 ,  1.49 ,Financials,Capital Markets,Diversified Financials,18.0,4%,  18 ,"  1,008 "
RS US Equity,USD,RELIANCE STEEL & ALUMINUM,0.2,1.7,  6 ,  2 ,27.0,  (0.67),  (3.29),Materials,Metals & Mining,Materials,10.0,137%,  18 ,  414 
GRFS US Equity,EUR,GRIFOLS SA-ADR,0.5,4.8,  18 ,  6 ,51.2,  1.33 ,  1.12 ,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",5.0,38%,  18 ,  767 
FBHS US Equity,USD,FORTUNE BRANDS HOME & SECURI,0.4,2.8,  6 ,  1 ,51.3,  0.86 ,  0.82 ,Industrials,Building Products,Capital Goods,20.0,95%,  18 ,  725 
TKR US Equity,USD,TIMKEN CO,0.2,2.8,  3 ,  1 ,39.3,  0.56 ,  0.93 ,Industrials,Machinery,Capital Goods,10.0,88%,  18 ,  659 
KSS US Equity,USD,KOHLS CORP,1.8,1.2,  12 ,  3 ,36.1,  2.11 ,  10.97 ,Consumer Discretionary,Multiline Retail,Retailing,22.0,153%,  18 ,  159 
BRK/B US Equity,USD,BERKSHIRE HATHAWAY INC-CL B,21.5,-4.5,  535 ,  (216),30.0,  5.57 ,  3.31 ,Financials,Diversified Financial Services,Diversified Financials,6.0,37%,  18 ,  906 
PFG US Equity,USD,PRINCIPAL FINANCIAL GROUP,4.2,#N/A N/A,  14 ,  1 ,35.9,  3.34 ,  1.16 ,Financials,Insurance,Insurance,13.0,5%,  18 ,  977 
ITUB US Equity,BRL,ITAU UNIBANCO H-SPON PRF ADR,-18.5,#N/A N/A,  83 ,  45 ,43.1,  0.96 ,  0.98 ,Financials,Banks,Banks,9.0,11%,  18 ,  945 
BLK US Equity,USD,BLACKROCK INC,3.7,-0.2,  65 ,  (2),38.1,  9.08 ,  1.26 ,Financials,Capital Markets,Diversified Financials,16.0,7%,  18 ,  993 
RPM US Equity,USD,RPM INTERNATIONAL INC,0.3,3.6,  9 ,  2 ,19.0,  0.84 ,  0.63 ,Materials,Chemicals,Materials,14.0,105%,  18 ,  428 
CASY US Equity,USD,CASEY'S GENERAL STORES INC,-0.1,2.6,  5 ,  1 ,19.2,  2.71 ,  2.21 ,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,13.0,266%,  18 ,  229 
NGG US Equity,GBP,NATIONAL GRID PLC-SP ADR,0.2,5.4,  36 ,  33 ,21.3,  3.53 ,  2.47 ,Utilities,Multi-Utilities,Utilities,3.0,25%,  18 ,  268 
IPGP US Equity,USD,IPG PHOTONICS CORP,0.2,-1.7,  7 ,  (1),53.1,  (6.96),  1.01 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,11.0,62%,  18 ,  512 
SIVB US Equity,USD,SVB FINANCIAL GROUP,0.8,#N/A N/A,  13 ,  (1),53.5,  0.76 ,  0.77 ,Financials,Banks,Banks,21.0,5%,  18 ,"  1,015 "
DAN US Equity,USD,DANA INC,0.1,1.8,  2 ,  1 ,66.2,  0.45 ,  0.63 ,Consumer Discretionary,Auto Components,Automobiles & Components,9.0,137%,  18 ,  94 
AMED US Equity,USD,AMEDISYS INC,0.2,0.3,  4 ,  0 ,66.4,  2.27 ,  2.48 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,12.0,214%,  18 ,  807 
GWR US Equity,USD,GENESEE & WYOMING INC-CL A,0.3,3.3,  5 ,  2 ,37.6,  0.82 ,  1.25 ,Industrials,Road & Rail,Transportation,15.0,29%,  18 ,  700 
TWTR US Equity,USD,TWITTER INC,0.8,-4.3,  25 ,  (3),63.4,  (9.60),  2.05 ,Communication Services,Interactive Media & Services,Media & Entertainment,39.0,34%,  18 ,  69 
DLX US Equity,USD,DELUXE CORP,0.3,2.1,  2 ,  1 ,51.8,  (5.50),  1.72 ,Industrials,Commercial Services & Supplies,Commercial & Professional Serv,3.0,89%,  19 ,  610 
TAL US Equity,USD,TAL EDUCATION GROUP- ADR,#N/A N/A,#N/A N/A,  17 ,  (1),70.3,  0.83 ,  0.63 ,Consumer Discretionary,Diversified Consumer Services,Consumer Services,29.0,77%,  19 ,  188 
CI US Equity,USD,CIGNA CORP,3.9,-0.2,  52 ,  0 ,29.1,  1.59 ,  1.28 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,22.0,62%,  19 ,  866 
WSO US Equity,USD,WATSCO INC,0.2,0.1,  5 ,  (0),30.4,  2.42 ,  2.56 ,Industrials,Trading Companies & Distributo,Capital Goods,11.0,206%,  19 ,  664 
OXY US Equity,USD,OCCIDENTAL PETROLEUM CORP,1.1,0.8,  55 ,  8 ,37.0,  0.86 ,  (0.90),Energy,"Oil, Gas & Consumable Fuels",Energy,26.0,38%,  19 ,"  1,081 "
JBT US Equity,USD,JOHN BEAN TECHNOLOGIES CORP,0.0,2.3,  3 ,  0 ,47.9,  1.99 ,  1.21 ,Industrials,Machinery,Capital Goods,10.0,127%,  19 ,  660 
PG US Equity,USD,PROCTER & GAMBLE CO/THE,11.1,1.2,  234 ,  19 ,30.7,  2.91 ,  3.24 ,Consumer Staples,Household Products,Household & Personal Products,28.0,55%,  19 ,  262 
AAN US Equity,USD,AARON'S INC,0.3,0.7,  3 ,  0 ,43.4,  0.93 ,  0.61 ,Consumer Discretionary,Specialty Retail,Retailing,9.0,141%,  19 ,  97 
WBA US Equity,USD,WALGREENS BOOTS ALLIANCE INC,6.9,1.7,  78 ,  14 ,24.7,  1.60 ,  1.10 ,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,27.0,196%,  19 ,  261 
GEF US Equity,USD,GREIF INC-CL A,0.1,2.1,  2 ,  1 ,33.7,  1.54 ,  1.62 ,Materials,Containers & Packaging,Materials,7.0,116%,  19 ,  410 
AN US Equity,USD,AUTONATION INC,0.3,6.3,  3 ,  6 ,30.9,  2.03 ,  (4.46),Consumer Discretionary,Specialty Retail,Retailing,15.0,216%,  19 ,  130 
PHM US Equity,USD,PULTEGROUP INC,1.4,1.7,  7 ,  3 ,44.7,  18.48 ,  1.59 ,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,18.0,100%,  19 ,  142 
AZN US Equity,USD,ASTRAZENECA PLC-SPONS ADR,0.5,2.5,  105 ,  12 ,27.9,  1.80 ,  0.87 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",7.0,34%,  19 ,  783 
JHG US Equity,USD,JANUS HENDERSON GROUP PLC,0.7,-0.6,  5 ,  (0),27.6,  (10.69),  1.23 ,Financials,Capital Markets,Diversified Financials,11.0,33%,  19 ,  955 
APH US Equity,USD,AMPHENOL CORP-CL A,0.9,1.2,  26 ,  2 ,27.9,  2.58 ,  1.62 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,14.0,82%,  19 ,  538 
BRKS US Equity,USD,BROOKS AUTOMATION INC,0.1,-0.3,  2 ,  (0),46.4,  3.90 ,  0.68 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,6.0,87%,  19 ,  481 
KMT US Equity,USD,KENNAMETAL INC,0.1,1.1,  3 ,  0 ,47.0,  0.91 ,  0.82 ,Industrials,Machinery,Capital Goods,12.0,98%,  19 ,  674 
AIT US Equity,USD,APPLIED INDUSTRIAL TECH INC,0.1,3.1,  3 ,  1 ,31.1,  1.98 ,#VALUE!,Industrials,Trading Companies & Distributo,Capital Goods,5.0,177%,  19 ,  625 
AAON US Equity,USD,AAON INC,0.0,-0.1,  2 ,  (0),45.2,  0.41 ,  3.02 ,Industrials,Building Products,Capital Goods,3.0,138%,  19 ,  608 
HRL US Equity,USD,HORMEL FOODS CORP,0.9,0.3,  24 ,  (0),20.9,  (24.17),  3.62 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",14.0,132%,  19 ,  230 
COP US Equity,USD,CONOCOPHILLIPS,5.0,0.7,  75 ,  12 ,37.6,  0.64 ,  (1.93),Energy,"Oil, Gas & Consumable Fuels",Energy,23.0,48%,  19 ,"  1,074 "
OLLI US Equity,USD,OLLIE'S BARGAIN OUTLET HOLDI,0.1,0.0,  6 ,  0 ,33.2,  2.29 ,  1.74 ,Consumer Discretionary,Multiline Retail,Retailing,14.0,111%,  19 ,  127 
JW/A US Equity,USD,WILEY (JOHN) & SONS-CLASS A,0.2,1.1,  3 ,  0 ,28.2,  1.88 ,#VALUE!,Communication Services,Media,Media & Entertainment,3.0,66%,  19 ,  13 
PCH US Equity,USD,POTLATCHDELTIC CORP,0.1,2.4,  2 ,  0 ,37.9,  (1.33),  0.50 ,Real Estate,Equity Real Estate Investment,Real Estate,6.0,55%,  19 ,  331 
AME US Equity,USD,AMETEK INC,#N/A N/A,1.1,  17 ,  2 ,35.2,  2.05 ,  2.46 ,Industrials,Electrical Equipment,Capital Goods,16.0,59%,  19 ,  702 
APTV US Equity,USD,APTIV PLC,0.5,1.6,  20 ,  3 ,34.7,  1.64 ,  0.94 ,Consumer Discretionary,Auto Components,Automobiles & Components,26.0,107%,  19 ,  173 
OSK US Equity,USD,OSHKOSH CORP,0.3,0.5,  5 ,  0 ,73.9,  1.16 ,  (3.51),Industrials,Machinery,Capital Goods,17.0,148%,  20 ,  709 
ERI US Equity,USD,ELDORADO RESORTS INC,0.2,7.2,  3 ,  2 ,77.9,  0.15 ,  0.56 ,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,9.0,45%,  20 ,  96 
AMG US Equity,USD,AFFILIATED MANAGERS GROUP,1.2,2.5,  6 ,  2 ,32.2,  1.13 ,  0.44 ,Financials,Capital Markets,Diversified Financials,9.0,28%,  20 ,  943 
CBRE US Equity,USD,CBRE GROUP INC - A,0.7,2.0,  15 ,  2 ,27.4,  2.03 ,  1.53 ,Real Estate,Real Estate Management & Devel,Real Estate,11.0,157%,  20 ,  345 
NKE US Equity,USD,NIKE INC -CL B,4.6,-0.1,  118 ,  (1),32.3,  1.30 ,  1.25 ,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",Consumer Durables & Apparel,38.0,162%,  20 ,  207 
PH US Equity,USD,PARKER HANNIFIN CORP,1.3,1.7,  22 ,  4 ,34.7,  1.75 ,  1.79 ,Industrials,Machinery,Capital Goods,24.0,93%,  20 ,  747 
AOS US Equity,USD,SMITH (A.O.) CORP,0.4,-0.7,  8 ,  (0),41.2,  1.67 ,  1.91 ,Industrials,Building Products,Capital Goods,13.0,103%,  20 ,  679 
WPP US Equity,GBP,WPP PLC-SPONSORED ADR,1.4,1.9,  14 ,  6 ,62.0,  (4.57),  2.29 ,Communication Services,Media,Media & Entertainment,2.0,46%,  20 ,  6 
COHR US Equity,USD,COHERENT INC,0.1,0.3,  3 ,  (0),64.0,  0.65 ,  0.22 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,11.0,83%,  20 ,  514 
EA US Equity,USD,ELECTRONIC ARTS INC,1.4,-2.5,  27 ,  (4),41.4,  1.23 ,  1.41 ,Communication Services,Entertainment,Media & Entertainment,31.0,63%,  20 ,  63 
LLL US Equity,USD,L3 TECHNOLOGIES INC,0.5,2.1,  15 ,  3 ,55.1,  1.50 ,  1.09 ,Industrials,Aerospace & Defense,Capital Goods,14.0,78%,  20 ,  687 
EXP US Equity,USD,EAGLE MATERIALS INC,0.2,1.6,  3 ,  1 ,43.5,  0.90 ,  0.81 ,Materials,Construction Materials,Materials,12.0,60%,  20 ,  420 
X US Equity,USD,UNITED STATES STEEL CORP,0.1,0.8,  5 ,  1 ,39.8,  18.32 ,  (0.30),Materials,Metals & Mining,Materials,19.0,133%,  20 ,  449 
HTHT US Equity,CNY,HUAZHU GROUP LTD-ADR,0.3,1.8,  8 ,  0 ,84.5,  0.74 ,  0.81 ,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,14.0,49%,  20 ,  124 
UGI US Equity,USD,UGI CORP,0.9,2.7,  10 ,  4 ,19.2,  2.03 ,  2.68 ,Utilities,Gas Utilities,Utilities,5.0,65%,  20 ,  272 
ABEV US Equity,BRL,AMBEV SA-ADR,4.2,-0.4,  67 ,  (2),42.3,  1.87 ,  1.16 ,Consumer Staples,Beverages,"Food, Beverage & Tobacco",9.0,55%,  20 ,  223 
NUS US Equity,USD,NU SKIN ENTERPRISES INC - A,0.2,0.1,  4 ,  (0),56.3,  1.67 ,  1.20 ,Consumer Staples,Personal Products,Household & Personal Products,7.0,162%,  20 ,  220 
